date,company,trip_count,fare_amount
2015-10-05,1,3091,13.487220964
2015-10-06,2,3735,13.725568942
2015-10-06,1,3252,13.179274293
2015-10-07,2,3859,14.015288935
2015-10-07,1,3384,13.934840426
2015-10-08,1,3533,14.022502123
2015-10-08,2,4148,13.932135969
2015-10-09,1,3489,14.205216394
2015-10-09,2,3901,14.577287875
2015-10-10,1,3827,12.784295793
2015-10-10,2,4508,12.816659272
2015-10-11,1,3378,13.808762581
2015-10-11,2,3859,13.655998963
2015-10-12,2,3425,13.873284672
2015-10-12,1,2870,13.737261324
2015-10-13,2,3732,13.522642015
2015-10-13,1,3272,13.695751834
2015-10-14,1,3429,13.732575095
2015-10-14,2,3859,13.480824048
2015-10-15,2,4037,14.361159277
2015-10-15,1,3555,14.135724332
2015-10-16,1,3837,13.674485275
2015-10-16,2,4354,13.791235645
2015-10-17,2,4643,12.622980831
2015-10-17,1,4044,12.680761622
2015-10-18,1,3587,13.454000558
2015-10-18,2,4162,13.249759731
2015-10-19,2,3689,13.547031716
2015-10-19,1,3314,13.477217864
2015-10-20,2,3870,13.639922481
2015-10-20,1,3299,13.784631707
2015-10-21,1,3367,13.88001188
2015-10-21,2,3896,14.30101386
2015-10-22,2,4174,14.456157163
2015-10-22,1,3565,14.087657784
2015-10-23,2,4170,13.789328537
2015-10-23,1,3801,13.860036832
2015-10-24,1,3865,12.903880983
2015-10-24,2,4369,13.220187686
2015-10-25,2,4200,13.233095238
2015-10-25,1,3566,13.259534492
2015-10-26,1,3144,13.408874046
2015-10-26,2,3669,13.502044154
2015-10-27,2,3811,13.401469431
2015-10-27,1,3333,13.325682568
2015-10-28,1,3224,14.074596774
2015-10-28,2,3722,13.778747985
2015-10-29,1,3382,14.536960378
2015-10-29,2,4028,14.300397219
2015-10-30,2,4231,14.222051524
2015-10-30,1,3724,14.439983888
2015-10-31,2,4552,12.446616872
2015-10-31,1,3933,12.759216883
2015-11-01,2,4038,13.442855374
2015-11-01,1,3413,13.385232933
2015-11-02,2,3495,14.215879828
2015-11-02,1,3079,13.991312114
2015-11-03,1,3223,13.411960906
2015-11-03,2,3647,13.4324102
2015-11-04,2,3695,13.568200271
2015-11-04,1,3284,13.630481121
2015-11-05,1,3428,14.167298716
2015-11-05,2,3955,14.097408344
2015-11-06,1,3708,14.241100324
2015-11-06,2,4174,13.810493531
2015-11-07,1,3938,12.619349924
2015-11-07,2,4520,12.768595133
2015-11-08,1,3506,13.186679977
2015-11-08,2,4020,13.855597015
2015-11-09,2,3596,13.514738598
2015-11-09,1,3167,13.45216293
2015-11-10,2,3701,13.876641448
2015-11-10,1,3160,13.603322785
2015-11-11,2,3510,14.243589744
2015-11-11,1,3048,13.947998688
2015-11-12,1,3458,13.942261423
2015-11-12,2,4048,13.711585968
2015-11-13,2,4274,13.426649509
2015-11-13,1,3802,13.683250921
2015-11-14,1,4059,12.818428184
2015-11-14,2,4510,12.851995565
2015-11-15,2,3885,13.736293436
2015-11-15,1,3543,13.574089754
2015-11-16,2,3528,13.875283447
2015-11-16,1,3123,13.659782261
2015-11-17,2,3827,13.446563888
2015-11-17,1,3315,13.280090498
2015-11-18,2,3864,14.001035197
2015-11-18,1,3312,13.765247585
2015-11-19,1,3293,14.079107197
2015-11-19,2,3776,14.406514831
2015-11-20,2,4161,14.395590002
2015-11-20,1,3707,14.181008902
2015-11-21,2,4515,12.647619048
2015-11-21,1,3955,12.552591656
2015-11-22,2,3827,13.005748628
2015-11-22,1,3409,12.801343502
2015-11-23,2,3599,12.7072798
2015-11-23,1,3226,12.634221947
2015-11-24,2,3704,13.642548596
2015-11-24,1,3280,13.233689024
2015-11-25,2,3527,13.412687837
2015-11-25,1,3105,13.193555556
2015-11-26,1,2118,12.472507082
2015-11-26,2,2616,12.50898318
2015-11-27,1,2464,11.707183442
2015-11-27,2,2889,11.670128072
2015-11-28,2,3700,12.447972973
2015-11-28,1,3056,12.701407068
2015-11-29,2,3439,13.655859261
2015-11-29,1,2983,13.564280925
2015-11-30,1,3039,13.81934847
2015-11-30,2,3525,13.818439716
2015-12-01,2,3563,13.879455515
2015-12-01,1,3233,13.790287659
2015-12-02,1,3238,13.739499691
2015-12-02,2,3621,14.212507595
2015-12-03,2,4008,14.208458084
2015-12-03,1,3558,14.178049466
2015-12-04,1,3771,13.823733758
2015-12-04,2,4273,13.785794524
2015-12-05,2,4636,12.694887834
2015-12-05,1,3811,12.725268958
2015-12-06,2,4085,13.048959608
2015-12-06,1,3607,13.076240643
2015-12-07,1,3340,13.572979042
2015-12-07,2,3698,13.562736614
2015-12-08,1,3260,13.946779141
2015-12-08,2,3892,14.024023638
2015-12-09,2,3673,14.355839913
2015-12-09,1,3229,14.421183029
2015-12-10,1,3358,14.390857653
2015-12-10,2,3850,14.626493506
2015-12-11,1,3491,14.010827843
2015-12-11,2,4219,14.610808248
2015-12-12,2,4419,13.390133514
2015-12-12,1,3785,13.608982827
2015-12-13,2,3904,13.970927254
